Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
118	11159	Ober, Bailey	MIN	P	323.12	195	496		1307		
119	10145	Singer, Brady	CIN	P	324.20	219	455		1355		
120	11585	Painter, Andrew	PHI	P	326.09	157	472		1329		
121	12148	Matthews, Zebby	MIN	P	329.43	172	547		1287		
122	11187	Soriano, Jose	LAA	P	329.56	203	465		1326		
123	11186	Vest, Will	DET	P	334.07	94	582		1249		
124	11362	Bello, Brayan	BOS	P	334.22	177	463		1342		
125	11060	Uceta, Edwin	TB	P	334.44	155	591		1224		
126	12259	Patrick, Chad	MLW	P	335.31	218	519		1325		
127	7886	Taillon, Jameson	CHC	P	336.98	188	487		1314		
128	9555	Holmes, Clay	NYM	P	337.45	210	476		1321		
129	10915	Detmers, Reid	LAA	P	348.21	225	504		1326		
130	9742	Mahle, Tyler	SF	P	351.13	201	551		1297		
131	10971	Cavalli, Cade	WAS	P	352.34	206	521		1285		
132	11420	Seymour, Ian	TB	P	352.97	199	546		1265		
133	9410	Lopez, Reynaldo	ATL	P	354.98	183	624		1292		
134	11907	Snelling, Robby	MIA	P	357.54	70	550		1191		
135	8879	Bassitt, Chris	BAL	P	357.76	219	510		1262		
136	8808	Yates, Kirby	LAA	P	358.29	129	708		1241		
137	12359	Taylor, Grant	CWS	P	358.37	201	584		1217		
138	10760	Gil, Luis	NYY	P	358.55	214	477		1291		
139	10438	Kikuchi, Yusei	LAA	P	359.73	134	486		1240		
140	9799	Keller, Mitch	PIT	P	359.99	208	488		1206		
141	9312	Lugo, Seth	KC	P	365.86	233	487		1241		
142	10181	Peterson, David	NYM	P	366.52	199	502		1227		
143	11106	Beeter, Clayton	WAS	P	367.01	163	726		1241		
144	10832	Meyer, Max	MIA	P	368.16	214	571		1250		
145	10792	Finnegan, Kyle	DET	P	368.61	106	590		1104		
146	11841	Lopez, Jacob	ATH	P	374.32	243	503		1236		
147	8426	Wacha, Michael	KC	P	375.66	220	492		1154		
148	11887	Waldrep, Hurston	ATL	P	380.09	153	744		987		
149	12430	Melton, Troy	DET	P	381.06	195	737		1009		
150	11861	Vodnik, Victor	COL	P	385.76	155	573		1141		
151	10335	Woods Richardson, Simeon	MIN	P	387.03	281	532		1149		
152	10717	Javier, Cristian	HOU	P	387.95	223	517		1200		
153	12028	Leasure, Jordan	CWS	P	389.36	134	613		1006		
154	12344	Tong, Jonah	NYM	P	393.84	178	556		981		
155	11586	Pfaadt, Brandon	ARZ	P	394.24	247	529		1105		
156	9379	Eflin, Zach	BAL	P	394.34	200	575		1185		
157	10477	Steele, Justin	CHC	P	394.70	185	546		1056		
158	11553	Estrada, Jeremiah	SD	P	396.68	217	592		1091		
159	10287	Liberatore, Matthew	STL	P	401.35	178	576		1157		
160	10528	Romero, JoJo	STL	P	404.11	153	624		1121		
161	11588	Bradley, Taj	MIN	P	406.06	264	568		1140		
162	9772	Scott, Tanner	LAD	P	406.08	143	615		969		
163	9225	Rogers, Taylor	MIN	P	406.82	200	745		907		
164	11632	Abel, Mick	MIN	P	407.10	213	599		1179		
165	12452	Tolle, Payton	BOS	P	409.84	202	565		975		
166	11594	Olson, Reese	DET	P	410.58	206	749		789		
167	10189	May, Dustin	STL	P	411.22	227	623		1176		
168	8650	Stephenson, Robert	LAA	P	413.93	191	733		906		
169	11836	Cecconi, Slade	CLE	P	417.70	253	565		1081		
170	10769	Cleavinger, Garrett	TB	P	417.90	210	718		1086		
171	8724	Giolito, Lucas	BOS	P	418.48	220	620		961		
172	10892	Oviedo, Johan	BOS	P	420.33	243	618		1118		
173	11893	Jones, Jared	PIT	P	422.85	274	584		890		
174	10468	Holmes, Grant	ATL	P	424.11	222	683		1152		
175	11190	Whitlock, Garrett	BOS	P	426.30	236	591		1046		
176	10067	Springs, Jeffrey	ATH	P	426.50	245	572		997		
177	11634	Roupp, Landen	SF	P	428.43	288	538		1014		
178	9860	Littell, Zack	WAS	P	428.68	250	598		997		
179	12097	Sterner, Justin	ATH	P	429.48	236	748		983		
180	9642	Sewald, Paul	ARZ	P	429.62	187	750		747		
181	11371	Henriquez, Ronny	MIA	P	431.74	198	750		388		
182	12434	Morales, Luis	ATH	P	432.05	228	603		939		
183	8958	Severino, Luis	ATH	P	433.74	275	589		1047		
184	12266	Svanson, Matt	STL	P	435.41	239	733		986		
185	10347	Santillan, Tony	CIN	P	436.34	181	637		876		
186	10147	Garrett, Braxton	MIA	P	436.92	121	732		1009		
187	9791	Soroka, Michael	ARZ	P	437.46	297	589		971		
188	12020	Arrighetti, Spencer	HOU	P	439.10	254	664		954		
189	12198	Sproat, Brandon	MLW	P	440.59	236	670		1008		
190	9921	Erceg, Lucas	KC	P	444.02	214	636		975		
191	12478	White, Thomas	MIA	P	444.57	238	657		832		
192	11105	Doval, Camilo	NYY	P	445.65	236	602		907		
193	11597	Harrison, Kyle	MLW	P	447.12	241	724		1021		
194	5420	Verlander, Justin	DET	P	447.36	261	669		1026		
195	10183	Kremer, Dean	BAL	P	447.92	245	631		907		
196	9430	Weaver, Luke	NYM	P	449.64	220	630		861		
197	10123	Morejon, Adrian	SD	P	449.96	210	681		894		
198	10662	Ginkel, Kevin	ARZ	P	450.37	247	750		862		
199	9753	Machado, Andres	WAS	P	450.85	228	228		1		
200	11227	Megill, Tylor	NYM	P	450.85	143	655		4		
201	8542	Garcia, Luis	NYM	P	450.86	254	254		1		
202	10790	Abbott, Cory	WAS	P	450.90	313	313		1		
203	8297	Smith, Will	KC	P	450.96	352	498		2		
204	11683	Simpson, Josh	SEA	P	450.97	403	403		1		
205	7183	Carrasco, Carlos	ATL	P	451.04	507	507		1		
206	8670	Heaney, Andrew	LAD	P	451.04	238	716		2		
207	11303	Severino, Anderson	CWS	P	451.04	511	511		1		
208	8630	Sims, Lucas	WAS	P	451.05	521	521		1		
209	11812	Hudson, Bryan	NYM	P	451.05	519	519		1		
210	9329	Edwards Jr., Carl	TEX	P	451.06	538	538		1		
211	10410	Oviedo, Luis	CLE	P	451.06	545	545		1		
212	11392	Marinaccio, Ron	SD	P	451.06	544	544		1		
213	11480	Swarmer, Matt	CHC	P	451.06	533	533		1		
214	8890	Strickland, Hunter	LAA	P	451.07	555	555		1		
215	11598	Graceffo, Gordon	STL	P	451.08	572	572		1		
216	12324	Ferris, Jackson	LAD	P	451.08	564	564		1		
217	9253	Garrett, Amir	LAA	P	451.09	580	580		1		
218	9733	Curtiss, John	ARZ	P	451.09	584	584		1		
219	11710	Murphy, Chris	CWS	P	451.09	584	584		1		
220	8864	May, Trevor	ATH	P	451.10	597	597		1		
221	9392	Stewart, Brock	LAD	P	451.10	595	595		1		
222	12399	Hiraldo, Yaramil	BAL	P	451.10	592	592		1		
223	8653	Gray, Jon	TEX	P	451.11	617	617		1		
224	12330	Wolfram, Grant	BAL	P	451.11	605	605		1		
225	10276	Allen, Logan	ARZ	P	451.12	624	624		1		
226	10442	Webb, Jacob	CHC	P	451.12	628	628		1		
227	12239	Sisk, Evan	PIT	P	451.13	646	646		1		
228	9833	Beeks, Jalen	TEX	P	451.14	656	656		1		
229	11141	Johnson, Seth	PHI	P	451.14	548	564		2		
230	11144	Marsh, Alec	KC	P	451.14	653	653		1		
231	11238	Eder, Jake	WAS	P	451.14	650	650		1		
232	12170	Aldegheri, Sam	LAA	P	451.14	658	658		1		
233	9239	Leclerc, Jose	ATH	P	451.15	668	668		1		
234	9589	Milner, Hoby	CHC	P	451.15	663	663		1		
235	10474	Anderson, Nick	COL	P	451.15	667	667		1		
236	10678	Garcia, Rico	BAL	P	451.15	667	667		1		
237	12334	Grissom Jr., Marquis	WAS	P	451.15	673	673		1		
238	12507	Miyagi, Hiroya	FA	P	451.15	669	669		1		
239	8921	Coulombe, Danny	BOS	P	451.16	688	688		1		
240	9457	Williams, Trevor	WAS	P	451.16	685	685		1		
241	11416	Kilian, Caleb	CHC	P	451.16	683	683		1		
242	11774	Smith-Shawver, AJ	ATL	P	451.16	469	570		3		
243	12638	Gastelum, Luis	STL	P	451.16	684	684		1		
244	10750	Hendrix, Ryan	ARZ	P	451.17	698	698		1		
245	11765	Dodd, Dylan	ATL	P	451.17	697	697		1		
246	5831	Hill, Rich	KC	P	451.18	716	716		1		
247	11993	Church, Marc	TEX	P	451.18	709	709		1		
248	12117	Bellozo, Valente	MIA	P	451.18	711	711		1		
249	12383	Schultz, Paxton	WAS	P	451.18	717	717		1		
250	12447	Brown, McCade	COL	P	451.18	707	707		1		
251	6704	Chavez, Jesse	ATL	P	451.19	725	725		1		
252	7150	Kershaw, Clayton	LAD	P	451.19	167	725		7		
253	8712	Gonzales, Marco	PIT	P	451.19	725	725		1		
254	10849	Shuster, Jared	ATH	P	451.19	726	726		1		
255	11915	Rodriguez, Carlos	MLW	P	451.19	726	726		1		
256	11928	Matsui, Yuki	SD	P	451.19	730	730		1		
257	11991	Curet, Yoniel	PHI	P	451.19	721	721		1		
258	12102	Otanez, Michel	TEX	P	451.19	728	728		1		
259	12153	Ribalta, Orlando	WAS	P	451.19	728	728		1		
260	12230	Rosario, Alejandro	TEX	P	451.19	728	728		1		
261	6858	Price, David	LAD	P	451.20	746	746		1		
262	8007	Wilson, Justin	BOS	P	451.20	737	737		1		
263	9217	Fulmer, Michael	CHC	P	451.20	747	747		1		
264	10047	Smith, Drew	NYM	P	451.20	450	740		2		
265	10700	Karinchak, James	CLE	P	451.20	744	744		1		
266	10749	Antone, Tejay	CIN	P	451.20	736	736		1		
267	10919	Thompson, Keegan	COL	P	451.20	737	737		1		
268	11757	Fulton, Dax	MIA	P	451.20	737	737		1		
269	11819	Mederos, Victor	LAA	P	451.20	738	738		1		
270	11918	Madden, Ty	DET	P	451.20	737	737		1		
271	12267	Cabrera, Jean	PHI	P	451.20	592	594		2		
272	12349	Barnett, Mason	ATH	P	451.20	737	737		1		
273	12587	Mautz, Brycen	STL	P	451.20	743	743		1		
274	12616	Scarborough, Caden	TEX	P	451.20	738	738		1		
275	12627	Watson, Will	NYM	P	451.20	743	743		1		
276	12382	Gibson, Cade	MIA	P	451.21	564	647		2		
277	12647	Hernandez, Seth	PIT	P	451.21	749	749		1		
278	11646	Munoz, Roddery	HOU	P	451.22	495	732		2		
279	10476	Brubaker, JT	SF	P	451.25	532	739		2		
280	9361	Green, Chad	TOR	P	451.26	570	709		2		
281	12585	Gray, Peyton	TEX	P	451.26	592	680		2		
282	9980	Hill, Tim	NYY	P	451.27	587	706		2		
283	12140	Bachar, Lake	MIA	P	451.29	587	733		2		
284	8669	Urias, Julio	LAD	P	451.30	599	739		2		
285	11909	McDermott, Chayce	BAL	P	451.30	590	744		2		
286	10778	Rodriguez, Manuel	TB	P	451.32	656	705		2		
287	12002	Spence, Mitch	KC	P	451.33	644	740		2		
288	10977	Rutledge, Jackson	WAS	P	451.34	681	709		2		
289	12069	Gordon, Colton	HOU	P	451.34	467	745		3		
290	8716	Jackson, Luke	SEA	P	451.35	484	661		4		
291	12457	Harris, Hayden	ATL	P	451.35	531	701		4		
292	12446	Sommers, Drew	DET	P	451.36	678	745		2		
293	11493	Bird, Jake	NYY	P	451.37	690	750		2		
294	11716	France, J.P.	HOU	P	451.37	711	733		2		
295	12515	Milbrandt, Karson	MIA	P	451.37	703	734		2		
296	12531	Nunez, Anthony	BAL	P	451.37	706	727		2		
297	9959	Quantrill, Cal	ATL	P	451.38	707	750		2		
298	11635	Berroa, Prelander	CWS	P	451.38	725	730		2		
299	11933	Lowder, Rhett	CIN	P	451.38	263	676		1014		
300	12633	Hicks, James	HOU	P	451.38	707	741		2		
301	9448	Peralta, Wandy	SD	P	451.39	725	739		2		
302	10352	Beck, Tristan	SF	P	451.39	729	743		2		
303	11388	Bowlan, Jonathan	PHI	P	451.39	723	749		2		
304	11422	Waldichuk, Ken	WAS	P	451.39	726	740		2		
305	11888	Black, Mason	KC	P	451.39	592	736		3		
306	11731	Varland, Gus	WAS	P	451.40	318	726		4		
307	11860	De Jesus, Enmanuel	DET	P	451.40	737	738		2		
308	12182	Walters, Andrew	CLE	P	451.40	732	749		2		
309	10759	Hart, Kyle	SD	P	451.41	593	744		3		
310	12365	Cijntje, Jurrangelo	SEA	P	451.41	500	731		4		
311	12532	Franco, Jose	CIN	P	451.42	600	714		3		
312	11393	Rodriguez, Randy	SF	P	451.44	424	733		5		
313	10585	Weissert, Greg	BOS	P	451.48	517	738		5		
314	11380	Gillaspie, Logan	SD	P	451.50	516	737		4		
315	12455	Farris, Mitch	LAA	P	451.50	605	743		3		
316	7760	Kimbrel, Craig	HOU	P	451.51	506	720		5		
317	10326	Hentges, Sam	SF	P	451.53	670	732		3		
318	10483	Burke, Brock	CIN	P	451.56	688	743		3		
319	12004	Fernandez, Ryan	STL	P	451.56	712	736		3		
320	11966	Blalock, Bradley	MIA	P	451.58	563	713		4		
321	11294	Moreta, Dauri	PIT	P	451.59	725	750		3		
322	12285	Raya, Marco	MIN	P	451.60	737	746		3		
323	12432	Ohl, Pierson	COL	P	451.60	735	749		3		
324	12548	Bidois, Brandan	PIT	P	451.60	575	743		4		
325	10487	Sborz, Josh	TEX	P	451.64	425	743		5		
326	12106	Bivens, Spencer	SF	P	451.64	583	747		4		
327	7683	Miller, Shelby	CHC	P	451.66	311	740		9		
328	11796	Bachman, Sam	LAA	P	451.67	449	735		5		
329	12380	Morillo, Juan	ARZ	P	451.67	586	742		4		
330	10280	Medina, Luis	ATH	P	451.69	481	746		6		
331	11318	Rangel, Alan	PHI	P	451.69	676	738		4		
332	11726	Englert, Mason	TB	P	451.70	684	738		4		
333	10661	Clase, Emmanuel	CLE	P	451.71	84	725		82		
334	12630	Sinnard, Luke	ATL	P	451.71	692	739		4		
335	9869	Perez, Cionel	WAS	P	451.73	677	748		4		
336	12421	Nunez, Eduarniel	ATH	P	451.74	671	745		4		
337	12543	Bennett, Jake	BOS	P	451.74	653	747		4		
338	12524	Nichols, TJ	TB	P	451.75	721	725		4		
339	9578	Blackburn, Paul	NYY	P	451.76	635	712		5		
340	12593	Forret, Michael	BAL	P	451.76	703	746		4		
341	10470	Suarez, Jose	ATL	P	451.82	494	748		6		
342	10152	Graterol, Brusdar	LAD	P	451.83	408	743		6		
343	12286	Mey, Luis	CIN	P	451.83	579	732		5		
344	8736	Kahnle, Tommy	DET	P	451.85	195	740		13		
345	12125	Diaz, Yilber	ARZ	P	451.85	669	741		5		
346	11447	Blanco, Ronel	HOU	P	451.86	546	736		7		
347	12526	Neighbors, Tyson	BAL	P	451.86	558	744		6		
348	12589	Lopez, Leandro	TEX	P	451.86	436	741		6		
349	12048	Hill, Jaden	COL	P	451.88	573	749		5		
350	12609	Alberto, Alexander	TB	P	451.88	462	740		7		
351	10060	Festa, Matt	CLE	P	451.90	391	730		7		
352	10448	Clarke, Taylor	ARZ	P	451.91	394	750		8		
353	12123	Gordon, Tanner	COL	P	451.91	486	730		7		
354	11068	Houck, Tanner	BOS	P	451.92	487	706		10		
355	12429	Garcia, Brandyn	ARZ	P	451.92	574	738		6		
356	11062	Lange, Alex	KC	P	451.96	560	749		6		
357	12223	Young, Brandon	BAL	P	451.97	607	741		6		
358	12509	Santucci, Jonathan	NYM	P	451.98	725	743		5		
359	12269	Hoglund, Gunnar	ATH	P	451.99	563	719		7		
360	10346	Gonsolin, Tony	LAD	P	452.03	401	748		9		
361	7384	Robertson, David	PHI	P	452.05	582	734		7		
362	9210	Clevinger, Mike	CWS	P	452.11	279	749		10		
363	11815	Waldron, Matt	SD	P	452.11	658	747		6		
364	12291	Santos, Winston	TEX	P	452.12	471	749		8		
365	12510	Hess, Ben	NYY	P	452.15	542	738		7		
366	12256	Rock, Joe	TB	P	452.18	587	745		7		
367	9635	Phillips, Evan	LAD	P	452.20	634	738		7		
368	6918	Morton, Charlie	ATL	P	452.21	396	744		15		
369	11869	Nicolas, Kyle	CIN	P	452.21	559	745		7		
370	12306	Sandlin, David	CWS	P	452.21	629	750		7		
371	12387	Morgan, David	SD	P	452.23	555	737		9		
372	12298	Ullola, Miguel	HOU	P	452.25	687	727		7		
373	8452	Pressly, Ryan	CHC	P	452.26	403	737		12		
374	12078	Cannon, Jonathan	CWS	P	452.29	563	750		9		
375	11689	Headrick, Brent	NYY	P	452.30	698	747		7		
376	11127	Foley, Jason	SF	P	452.32	436	747		10		
377	11896	Thorpe, Drew	CWS	P	452.32	619	748		8		
378	11936	Takahashi, Kona	FA	P	452.36	526	748		10		
379	12610	Wood, Gage	PHI	P	452.36	541	750		8		
380	9886	Alzolay, Adbert	CHC	P	452.39	726	748		7		
381	8951	Berrios, Jose	TOR	P	452.40	276	736		898		
382	12187	Gusto, Ryan	MIA	P	452.42	568	747		8		
383	11897	Jobe, Jackson	DET	P	452.43	461	737		13		
384	8494	Thielbar, Caleb	CHC	P	452.47	589	747		9		
385	9563	Banda, Anthony	MIN	P	452.50	484	750		10		
386	11058	Knack, Landon	LAD	P	452.52	655	739		9		
387	12283	Seymour, Carson	SF	P	452.52	437	748		12		
388	12205	Morris, Andrew	MIN	P	452.55	598	747		9		
389	10903	Sousa, Bennett	HOU	P	452.63	482	739		13		
390	12568	Rojas, Kendry	MIN	P	452.65	554	747		10		
391	8210	Darvish, Yu	SD	P	452.67	357	747		29		
392	12615	De Leon, Luis	BAL	P	452.68	572	746		10		
393	11270	Criswell, Cooper	SEA	P	452.69	611	746		10		
394	12405	Rodriguez, Bradgley	SD	P	452.72	335	750		12		
395	9107	Anderson, Tyler	LAA	P	452.77	545	736		12		
396	8841	Hendricks, Kyle	LAA	P	452.86	448	741		17		
397	12499	Lambert, Ryan	NYM	P	452.86	503	749		13		
398	12635	Sloan, Ryan	SEA	P	453.01	75	744		18		
399	11969	Herz, DJ	WAS	P	453.02	597	742		12		
400	11171	Falter, Bailey	KC	P	453.07	564	748		12		
401	12371	Braun, Lucas	ATL	P	453.11	595	745		13		
402	12600	Paez, Jedixson	CWS	P	453.15	439	747		15		
403	9525	Enns, Dietrich	BAL	P	453.21	596	749		13		
404	8363	Raley, Brooks	NYM	P	453.26	447	748		18		
405	11808	Bido, Osvaldo	NYY	P	453.37	495	749		15		
406	12141	Hurter, Brant	DET	P	453.45	552	750		15		
407	11166	Santos, Gregory	SEA	P	453.48	329	750		17		
408	9817	Whitley, Forrest	TB	P	453.49	518	749		21		
409	10910	Mears, Nick	KC	P	453.51	551	750		16		
410	11282	Feltner, Ryan	COL	P	453.53	546	748		16		
411	12551	Urena, Walbert	LAA	P	453.53	444	748		18		
412	11468	Silseth, Chase	LAA	P	453.58	529	749		17		
413	12540	Drake, Kohl	ARZ	P	453.58	485	743		15		
414	12423	Poulin, PJ	WAS	P	453.60	566	747		17		
415	11536	Nardi, Andrew	MIA	P	453.62	534	749		18		
416	12492	Saiki, Hiroto	FA	P	453.66	397	745		30		
417	12033	Hence, Tink	STL	P	453.73	558	747		16		
418	9974	Kelly, Michael	ATH	P	453.76	454	749		20		
419	9547	Junis, Jakob	TEX	P	453.84	513	750		16		
420	12410	Granillo, Andre	WAS	P	453.89	570	743		18		
421	9934	Cortes, Nestor	SD	P	453.94	412	744		32		
422	12225	Yoho, Craig	MLW	P	453.95	536	747		18		
423	12454	Alvarez, Andrew	WAS	P	453.98	407	750		20		
424	12323	Sykora, Travis	WAS	P	454.09	392	748		32		
425	11868	Boyle, Joe	TB	P	454.12	206	630		842		
426	12508	Murphy, Owen	ATL	P	454.13	540	745		18		
427	11784	Scholtens, Jesse	TB	P	454.15	646	750		17		
428	11467	Cano, Yennier	BAL	P	454.16	394	738		23		
429	11680	Winn, Keaton	SF	P	454.16	511	750		20		
430	11666	Martinez, Justin	ARZ	P	454.21	450	750		26		
431	12207	Harrington, Thomas	PIT	P	454.22	484	749		21		
432	9644	Jimenez, Joe	ATL	P	454.35	321	739		49		
433	12167	Sabrowski, Erik	CLE	P	454.54	506	750		24		
434	11967	Kochanowicz, Jack	LAA	P	454.85	478	749		26		
435	12208	Evans, Logan	SEA	P	454.88	498	750		23		
436	11970	Parker, Mitchell	WAS	P	454.94	465	750		26		
437	9290	Okert, Steven	HOU	P	455.17	553	747		27		
